address,lat,long
436 Cotton Ave,32.836777,-83.630531
420 Cotton Ave,32.836853,-83.63028
466 First St,32.836468,-83.631218
484 First St,32.836292,-83.631355
676 Cherry St,32.837158,-83.630272
661 Poplar St,32.836082,-83.630859
623 Poplar St,32.835705,-83.630234
497 Second St,32.835526,-83.62999
487 Second St,32.835644,-83.629967
479 Second St,32.83572,-83.629898
473 Second St,32.835773,-83.629852
596 Cherry St,32.83643,-83.628967
426 Second St,32.83617,-83.629135
428 Second St,32.836151,-83.62915
436 Second St,32.836075,-83.629219
442 Second St,32.836025,-83.629272
468 Second St,32.835659,-83.629562
476 Second St,32.835587,-83.629623
484 Second St,32.83551,-83.629684
496 Second St,32.835426,-83.629829
535 Poplar St,32.834949,-83.628975
485 Third St,32.834938,-83.628487
473 Third St,32.835014,-83.628426
469 Third St,32.835041,-83.628403
461 Third St,32.835075,-83.628334
443 Third St,32.835228,-83.628143
502 Cherry St,32.835735,-83.627769
402 Third St,32.835487,-83.62738
430 Cherry St,32.834915,-83.626511
436 Third St,32.835022,-83.627678
450 Third St,32.8349,-83.627922
476 Third St,32.834702,-83.627953
401 Poplar St,32.833698,-83.62706
382 Cherry St,32.834381,-83.625648
408 Broadway,32.834473,-83.6259
430 Broadway,32.834255,-83.626083
440 Broadway,32.83416,-83.626167
466 Broadway,32.833763,-83.626503
315 Poplar St,32.832779,-83.625687
503 Fifth St,32.832443,-83.625671
318 Poplar St,32.832596,-83.625931
513 Fifth St,32.832355,-83.625793
521 Fifth St,32.832268,-83.62587
534 Broadway,32.832878,-83.627258
500 Broadway,32.83329,-83.626984
540 Broadway,32.832813,-83.627312
555 Fifth St,32.831753,-83.626259
560 Broadway,32.832466,-83.627602
400 Poplar St,32.83337,-83.627327
446 Poplar St,32.833626,-83.627846
478 Poplar St,32.83387,-83.628387
453 Poplar St Ln,32.833321,-83.628319
536 Third St,32.833698,-83.628792
556 Third St,32.83345,-83.629051
598 Third St,32.833179,-83.629356
455 Plum St,32.832726,-83.628929
577 Third St,32.833584,-83.629639
513 Plum St,32.83337,-83.629929
545 Third St,32.833904,-83.629311
536 Poplar St,32.834484,-83.629395
502 Poplar St,32.834297,-83.628998
516 Poplar St,32.834351,-83.629181
567 Plum St,32.833801,-83.630669
592 Second St,32.834042,-83.631012
578 Second St,32.834167,-83.63089
546 Second St,32.834614,-83.630569
532 Second St,32.834709,-83.630409
504 Second St,32.834984,-83.630203
576 Poplar St,32.834839,-83.629967
609 Second St,32.833912,-83.631493
624 Plum St,32.834091,-83.631683
505 Second St,32.83511,-83.630402
614 Poplar St,32.835186,-83.630547
616 Poplar St,32.835201,-83.630569
620 Poplar St,32.835228,-83.630615
543 Second St,32.834774,-83.630737
690 Poplar St,32.835896,-83.631638
686 Poplar St,32.835857,-83.631592
530 First St,32.835678,-83.631874
718 Poplar St,32.836193,-83.631943
555 First St,32.835442,-83.632431
552 D T Walton Sr Way,32.835972,-83.63327
586 D T Walton Sr Way,32.835751,-83.633858
590 D T Walton Sr Way,32.835732,-83.633926
594 D T Walton Sr Way,32.835709,-83.634003
598 D T Walton Sr Way,32.835732,-83.634087
563 D T Walton Sr Way,32.836102,-83.633629
573 D T Walton Sr Way,32.83606,-83.633781
581 D T Walton Sr Way,32.836021,-83.633904
591 D T Walton Sr Way,32.835979,-83.634056
790 Poplar St,32.836903,-83.63311
517 D T Walton Sr Way,32.836422,-83.632576
805 Broadway,32.829456,-83.630585
792 Broadway,32.829559,-83.63015
772 Broadway,32.829765,-83.629974
732 Broadway,32.830311,-83.629517
702 Broadway,32.830654,-83.62928
701 Broadway,32.830776,-83.629433
724 Third St,32.831306,-83.630936
698 Broadway,32.830795,-83.629135
672 Broadway,32.831062,-83.628792
640 Broadway,32.831551,-83.62838
610 Third St,32.832832,-83.629715
444 Plum St,32.832413,-83.62883
453 Pine St,32.831406,-83.62999
655 Broadway,32.831505,-83.62899
675 Broadway,32.831272,-83.629204
548 Pine St,32.832092,-83.631569
663 Third St,32.832314,-83.630531
657 Third St,32.832382,-83.630478
743 Orange St,32.835411,-83.639206
787 Orange St,32.835011,-83.639343
743 Orange St,32.835411,-83.639206
731 Orange St,32.835522,-83.639168
718 College St,32.835796,-83.640778
730 College St,32.835686,-83.640968
1021 Rose Pl,32.834866,-83.639572
1033 Rose Pl,32.834866,-83.639679
1047 Rose Pl,32.834862,-83.639801
1059 Rose Pl,32.834858,-83.639908
753 College St,32.835735,-83.641495
1190 Forsyth St,32.836033,-83.640175
1374 Forsyth St,32.837345,-83.643211
1360 Forsyth St,32.837238,-83.643028
1352 Forsyth St,32.837208,-83.642899
735 Progress St,32.836899,-83.643059
743 Monroe St,32.837334,-83.643852
811 Adams St,32.836872,-83.645851
811 Tattnall St,32.836697,-83.644096
828 Adams St,32.836651,-83.645668
845 Tattnall St,32.836403,-83.644203
867 Tattnall St,32.836105,-83.644447
881 Tattnall St,32.835964,-83.644531
895 Tattnall St,32.835808,-83.644577
1407 Chestnut St,32.835827,-83.644638
1433 Chestnut St,32.835972,-83.644951
1445 Chestnut St,32.836006,-83.645119
1457 Chestnut St,32.836155,-83.645416
1481 Chestnut St,32.836288,-83.645721
1483 Chestnut St,32.8363,-83.645744
1452 Tattnall Pl,32.836498,-83.64492
1432 Tattnall Pl,32.836319,-83.644592
1472 Chestnut St,32.836002,-83.64576
986 Adams St,32.835705,-83.646416
1457 Oglethorpe St,32.834877,-83.646431
1483 Oglethorpe St,32.835075,-83.646713
1044 Adams St,32.835434,-83.646629
1020 Adams St,32.835545,-83.646545
917 Adams St,32.836182,-83.646408
959 Adams St,32.835987,-83.646568
981 Adams St,32.835884,-83.646652
1015 Adams St,32.835728,-83.646782
1031 Adams St,32.835651,-83.646843
1071 Adams St,32.835468,-83.646996
1509 Oglethorpe St,32.835335,-83.647141
1533 Oglethorpe St,32.835442,-83.647308
1555 Oglethorpe St,32.835533,-83.647461
1569 Oglethorpe St,32.83559,-83.647568
1087 Linden Ave,32.835831,-83.64798
1045 Linden Ave,32.836174,-83.64772
989 Linden Ave,32.836414,-83.647514
1005 Linden Ave,32.836346,-83.647575
1105 Adams St,32.835056,-83.647339
1119 Adams St,32.834923,-83.647453
1133 Adams St,32.834793,-83.64756
1147 Adams St,32.834663,-83.647675
1163 Adams St,32.834511,-83.647804
1177 Adams St,32.834381,-83.647919
1191 Adams St,32.834251,-83.648026
1565 Lawton Ave,32.8344,-83.64856
1585 Lawton Ave,32.83448,-83.648705
